reserva_id,codigo_reserva,numero_ticket,vuelo_id,pasaporte_comprador,nombre_comprador,nacionalidad_comprador,fecha_nacimiento_comprador,numero_asiento,clase,comida_y_maleta,pasaporte_pasajero,nombre_pasajero,nacionalidad_pasajero,fecha_nacimiento_pasajero
1,XLE7933-0001,8518,95,E44895667,Angela Reynolds,Estadounidense,1982-08-09,6,Economica,FALSO,E44895667,Angela Reynolds,Estadounidense,1982-08-09
1433,ADC8249-1433,7289,119,N49905893,Emma Scott,Chilena,1989-07-29,3,Ejecutiva,VERDADERO,N49905893,Emma Scott,Chilena,1989-07-29
2739,LAT5532-2739,9598,100,R17782317,Zachary Davenport,Venezolana,1971-12-29,30,Economica,FALSO,K07643594,Suzanne Goodman,Chilena,1987-11-16
692,IBE8751-0692,8254,124,P11550487,Maria Perez,Francesa,1996-08-11,30,Ejecutiva,VERDADERO,P11550487,Maria Perez,Francesa,1996-08-11
1269,COG7539-1269,5809,111,G04408945,Robert Butler,Argentina,1974-02-02,10,Ejecutiva,VERDADERO,J39937043,Danielle Johnson,Mexicana,1981-12-18
4772,XLE3285-4772,7700,125,V03976673,Mark Greene,Chilena,1998-12-09,20,Economica,FALSO,N15841852,John Mcneil,Chilena,1981-06-15
3891,EAL8271-3891,1031,117,J86333952,Leslie Howard,Venezolana,1971-09-22,10,Economica,VERDADERO,O01507856,James Hunter,Chilena,1995-05-14
1037,LAT5532-1037,127,100,X66304032,Victoria Odom,Francesa,1986-12-04,19,Primera clase,VERDADERO,O41678476,Andrew Malone,Argentina,1996-06-24
489,NCY5615-0489,385,116,X49704522,James Rojas,Chilena,1986-05-29,18,Ejecutiva,VERDADERO,X49704522,James Rojas,Chilena,1986-05-29
2542,BTA8394-2542,4984,128,I19062847,Christopher Garcia,Chilena,1986-12-06,17,Economica,FALSO,L94336722,Julia Watkins,Uruguaya,1995-08-25
1991,UAN2468-1991,5775,99,D84069297,Brittany Jones,Uruguaya,1978-04-30,5,Economica,VERDADERO,F70729457,Justin Hudson,Chilena,1994-02-12
3775,LAM9554-3775,5178,109,V39868007,Cassandra Kirby,Chilena,1997-04-02,25,Economica,FALSO,J86333952,Leslie Howard,Venezolana,1971-09-22
4782,QAF4466-4782,6775,126,Y33413387,Kimberly Hansen,Argentina,1989-07-02,2,Primera clase,FALSO,G04408945,Robert Butler,Argentina,1974-02-02
2844,AZI6476-2844,2170,101,O04335063,Jonathan Sims,Estadounidense,1974-04-13,6,Economica,FALSO,O04335063,Jonathan Sims,Estadounidense,1974-04-13
4365,BTA9626-4365,9125,103,D64763364,James Johnson,Chilena,1994-06-09,26,Economica,FALSO,U68917595,Paul Brown,Francesa,1987-08-24
4222,LAW6318-4222,5170,96,N49905893,Emma Scott,Chilena,1989-07-29,31,Economica,VERDADERO,G04408945,Robert Butler,Argentina,1974-02-02
2151,QAF6392-2151,3117,106,Z09262256,Joseph Wilson,Uruguaya,1993-07-28,6,Ejecutiva,VERDADERO,J46009647,Erica Ochoa,Italiana,1994-03-11
2220,LAM9554-2220,2381,109,L87663260,Heather Bolton,Estadounidense,1982-09-17,14,Economica,FALSO,G15489494,Anthony Francis,Argentina,1988-02-13
4247,UAN2468-4247,9932,99,N49905893,Emma Scott,Chilena,1989-07-29,14,Ejecutiva,FALSO,N49905893,Emma Scott,Chilena,1989-07-29
2123,IBE2338-2123,1715,104,J46610530,Andrew Torres,Alemana,1981-12-01,15,Primera clase,VERDADERO,N07672370,Kevin Wilson,Uruguaya,1986-09-11
2288,NCY5615-2288,8394,116,Y23187711,Vicki Ward,Argentina,1981-08-31,20,Primera clase,FALSO,Y23187711,Vicki Ward,Argentina,1981-08-31
629,EAL7933-0629,719,123,I63697476,Emily Sullivan,Venezolana,1991-07-25,8,Primera clase,FALSO,Y05451726,Kathleen Johnson,Chilena,1973-02-24
2262,COG7539-2262,7979,111,F69466449,Jennifer Eaton,Chilena,1995-08-29,20,Economica,VERDADERO,N47846939,John Lee,Italiana,1996-01-25
2220,LAM9554-2220,8656,109,L87663260,Heather Bolton,Estadounidense,1982-09-17,24,Ejecutiva,FALSO,L87663260,Heather Bolton,Estadounidense,1982-09-17
4365,BTA9626-4365,7017,103,D64763364,James Johnson,Chilena,1994-06-09,11,Ejecutiva,FALSO,I71542181,Alfred Martin Jr.,Chilena,1989-11-10
3593,AZI6476-3593,550,101,J33947155,Amanda Mccarthy,Venezolana,1995-08-25,7,Primera clase,FALSO,J86333952,Leslie Howard,Venezolana,1971-09-22
3180,KAI3589-3180,5110,115,M25657749,Casey Bennett,Estadounidense,1984-03-12,12,Economica,VERDADERO,R10584802,John Luna,Chilena,1983-11-04
9,LAW6318-0009,2563,96,D84069297,Brittany Jones,Uruguaya,1978-04-30,3,Ejecutiva,VERDADERO,F70729457,Justin Hudson,Chilena,1994-02-12
3739,QAF6392-3739,2154,106,H44001820,Ann Robertson,Venezolana,1998-04-27,11,Ejecutiva,VERDADERO,J47009281,Susan Stewart MD,Estadounidense,1997-02-08
4437,UAN2881-4437,6065,108,J46610530,Andrew Torres,Alemana,1981-12-01,8,Ejecutiva,VERDADERO,J46610530,Andrew Torres,Alemana,1981-12-01
3739,QAF6392-3739,4968,106,H44001820,Ann Robertson,Venezolana,1998-04-27,23,Economica,FALSO,H44001820,Ann Robertson,Venezolana,1998-04-27
2855,LUD5927-2855,8734,102,C87025090,Diana Frank,Alemana,1979-12-07,7,Economica,FALSO,D39176940,Patrick Choi,Chilena,1985-06-26
807,BTA8394-0807,542,128,D76513142,Victoria Brennan,Uruguaya,1977-06-19,22,Economica,VERDADERO,O41678476,Andrew Malone,Argentina,1996-06-24
873,KAI7891-0873,6730,133,Y05451726,Kathleen Johnson,Chilena,1973-02-24,6,Economica,VERDADERO,W06120402,Adam Clark,Estadounidense,1993-06-10
4222,LAW6318-4222,7235,96,N49905893,Emma Scott,Chilena,1989-07-29,5,Ejecutiva,FALSO,H44001820,Ann Robertson,Venezolana,1998-04-27
3891,EAL8271-3891,3393,117,J86333952,Leslie Howard,Venezolana,1971-09-22,16,Primera clase,FALSO,T72132858,Kathy Luna,Chilena,1990-07-13
1991,UAN2468-1991,2581,99,D84069297,Brittany Jones,Uruguaya,1978-04-30,12,Economica,FALSO,J86333952,Leslie Howard,Venezolana,1971-09-22
4669,MPH1782-4669,9662,118,Z09262256,Joseph Wilson,Uruguaya,1993-07-28,28,Ejecutiva,VERDADERO,Z09262256,Joseph Wilson,Uruguaya,1993-07-28
1037,LAT5532-1037,6391,100,X66304032,Victoria Odom,Francesa,1986-12-04,12,Economica,VERDADERO,T33834498,Alejandro Allen,Chilena,1992-05-20
2504,XLE3285-2504,815,125,L87663260,Heather Bolton,Estadounidense,1982-09-17,22,Ejecutiva,FALSO,G04408945,Robert Butler,Argentina,1974-02-02
2704,UAN2468-2704,5177,99,X84322989,Mr. Russell Abbott,Chilena,1984-11-16,8,Economica,VERDADERO,C63211080,Brian Mitchell,Chilena,1983-05-04
1422,EAL8271-1422,6731,117,L87663260,Heather Bolton,Estadounidense,1982-09-17,15,Economica,VERDADERO,N49905893,Emma Scott,Chilena,1989-07-29
3366,IBE8751-3366,2248,124,D46250570,Michael Mcdaniel,Venezolana,1994-11-04,6,Primera clase,VERDADERO,O01507856,James Hunter,Chilena,1995-05-14
4265,AZI6476-4265,3175,101,Q62966391,Patricia Parker,Mexicana,1994-08-07,23,Economica,VERDADERO,C87025090,Diana Frank,Alemana,1979-12-07
231,UAN2881-0231,936,108,N68461604,Gary Vasquez,Chilena,1984-11-21,6,Ejecutiva,FALSO,P11550487,Maria Perez,Francesa,1996-08-11
2218,UAN2881-2218,6134,108,L97895867,Sarah Williams,Uruguaya,1992-11-06,11,Ejecutiva,VERDADERO,L97895867,Sarah Williams,Uruguaya,1992-11-06
2964,UCA4751-2964,9087,107,Y88079794,Gregory Bradley,Chilena,1986-04-18,14,Economica,VERDADERO,T59160871,Lucas Jones,Uruguaya,1992-03-02
3845,KAI3589-3845,8358,115,G15489494,Anthony Francis,Argentina,1988-02-13,27,Economica,VERDADERO,Y13424296,Katherine Perez,Mexicana,1978-07-29
1618,IBE8751-1618,4807,124,N47846939,John Lee,Italiana,1996-01-25,29,Ejecutiva,VERDADERO,V79731274,Corey Elliott,Venezolana,1979-10-04
2910,LAW6351-2910,6732,105,V79731274,Corey Elliott,Venezolana,1979-10-04,23,Primera clase,VERDADERO,O01507856,James Hunter,Chilena,1995-05-14
2540,ADC6283-2540,2589,127,T18212951,Joel Compton,Argentina,1991-03-03,15,Primera clase,VERDADERO,Q62966391,Patricia Parker,Mexicana,1994-08-07
3231,NCY5615-3231,2945,116,A40223024,Janice Smith,Argentina,1993-03-25,14,Economica,VERDADERO,O85238546,Sheri Mcdonald,Argentina,1984-03-14
2280,ETA7128-2280,704,114,N24258653,Kayla Douglas,Uruguaya,1970-04-28,23,Economica,VERDADERO,H23592194,Ethan Gilbert,Uruguaya,1975-12-30
3588,UAN2468-3588,5215,99,P34583903,Kelsey Huff,Estadounidense,1972-08-08,31,Primera clase,FALSO,T33834498,Alejandro Allen,Chilena,1992-05-20
4150,BTA8394-4150,2391,128,N15841852,John Mcneil,Chilena,1981-06-15,31,Economica,VERDADERO,N24258653,Kayla Douglas,Uruguaya,1970-04-28
4660,EAL8271-4660,83,117,V79731274,Corey Elliott,Venezolana,1979-10-04,18,Primera clase,VERDADERO,V79731274,Corey Elliott,Venezolana,1979-10-04
3536,XLE7933-3536,2341,95,G04408945,Robert Butler,Argentina,1974-02-02,11,Primera clase,FALSO,J34719947,Heather Scott,Estadounidense,1973-05-02
2875,BTA9626-2875,8601,103,G15489494,Anthony Francis,Argentina,1988-02-13,5,Ejecutiva,FALSO,F70729457,Justin Hudson,Chilena,1994-02-12
1726,LAM9574-1726,5888,131,J46610530,Andrew Torres,Alemana,1981-12-01,22,Ejecutiva,FALSO,J46610530,Andrew Torres,Alemana,1981-12-01
2540,ADC6283-2540,6633,127,T18212951,Joel Compton,Argentina,1991-03-03,19,Economica,FALSO,D84069297,Brittany Jones,Uruguaya,1978-04-30
2288,NCY5615-2288,7403,116,Y23187711,Vicki Ward,Argentina,1981-08-31,28,Primera clase,VERDADERO,X66304032,Victoria Odom,Francesa,1986-12-04
92,UAN2468-0092,472,99,F23633774,Amanda Ruiz,Francesa,1977-07-09,25,Economica,FALSO,N68461604,Gary Vasquez,Chilena,1984-11-21
4236,LAW1134-4236,1361,97,T72132858,Kathy Luna,Chilena,1990-07-13,11,Economica,VERDADERO,C63211080,Brian Mitchell,Chilena,1983-05-04
2226,LRC4743-2226,2243,110,L94336722,Julia Watkins,Uruguaya,1995-08-25,10,Primera clase,FALSO,L94336722,Julia Watkins,Uruguaya,1995-08-25
1286,XLE5111-1286,2274,112,M25657749,Casey Bennett,Estadounidense,1984-03-12,21,Primera clase,VERDADERO,M25657749,Casey Bennett,Estadounidense,1984-03-12
2556,LRC9669-2556,606,130,Z87364523,Samantha Martin,Alemana,1981-03-26,24,Primera clase,VERDADERO,F89276118,Todd Wilkins,Italiana,1991-01-30
736,XLE3285-0736,9531,125,D64763364,James Johnson,Chilena,1994-06-09,3,Economica,VERDADERO,D64763364,James Johnson,Chilena,1994-06-09
2910,LAW6351-2910,3810,105,V79731274,Corey Elliott,Venezolana,1979-10-04,28,Primera clase,FALSO,V79731274,Corey Elliott,Venezolana,1979-10-04
1016,UAN2468-1016,4726,99,F09235820,Katrina Frye,Chilena,1995-10-11,28,Economica,VERDADERO,F09235820,Katrina Frye,Chilena,1995-10-11
4396,LAW6351-4396,8163,105,O01507856,James Hunter,Chilena,1995-05-14,11,Primera clase,FALSO,C63211080,Brian Mitchell,Chilena,1983-05-04
2029,AZI6476-2029,4684,101,J34719947,Heather Scott,Estadounidense,1973-05-02,3,Economica,VERDADERO,H44001820,Ann Robertson,Venezolana,1998-04-27
2288,NCY5615-2288,6965,116,Y23187711,Vicki Ward,Argentina,1981-08-31,22,Primera clase,VERDADERO,R56995721,David Keller,Venezolana,1975-07-24
1480,LUD7177-1480,1895,121,V39868007,Cassandra Kirby,Chilena,1997-04-02,26,Primera clase,VERDADERO,Q76465555,Isaiah Wood,Francesa,1980-11-05
3396,ADC6283-3396,3329,127,H44001820,Ann Robertson,Venezolana,1998-04-27,5,Primera clase,VERDADERO,D46250570,Michael Mcdaniel,Venezolana,1994-11-04
4396,LAW6351-4396,7333,105,O01507856,James Hunter,Chilena,1995-05-14,20,Primera clase,VERDADERO,Z51226931,Matthew Simmons,Chilena,1978-05-18
628,NCY1133-0628,8037,122,J76795477,Mikayla White,Argentina,1984-09-30,5,Ejecutiva,VERDADERO,T72132858,Kathy Luna,Chilena,1990-07-13
182,IBE2338-0182,7840,104,J39937043,Danielle Johnson,Mexicana,1981-12-18,14,Primera clase,VERDADERO,J39937043,Danielle Johnson,Mexicana,1981-12-18
4523,KEA7139-4523,2226,113,L56496275,Cheryl Bolton,Uruguaya,1972-12-16,2,Economica,FALSO,Q62966391,Patricia Parker,Mexicana,1994-08-07
538,MPH1782-0538,4287,118,F15206543,Kristen Harris,Chilena,1972-11-25,23,Economica,VERDADERO,I19062847,Christopher Garcia,Chilena,1986-12-06
736,XLE3285-0736,7666,125,D64763364,James Johnson,Chilena,1994-06-09,9,Ejecutiva,FALSO,D84069297,Brittany Jones,Uruguaya,1978-04-30
2633,COG3144-2633,6555,98,I19062847,Christopher Garcia,Chilena,1986-12-06,21,Economica,FALSO,I19062847,Christopher Garcia,Chilena,1986-12-06
3974,ETA6742-3974,3138,120,H23592194,Ethan Gilbert,Uruguaya,1975-12-30,21,Primera clase,FALSO,H23592194,Ethan Gilbert,Uruguaya,1975-12-30
2542,BTA8394-2542,9885,128,I19062847,Christopher Garcia,Chilena,1986-12-06,7,Primera clase,VERDADERO,I19062847,Christopher Garcia,Chilena,1986-12-06
3679,BTA9626-3679,114,103,J76795477,Mikayla White,Argentina,1984-09-30,29,Economica,VERDADERO,J46009647,Erica Ochoa,Italiana,1994-03-11
2276,KEA7139-2276,5345,113,R17782317,Zachary Davenport,Venezolana,1971-12-29,27,Economica,VERDADERO,L97895867,Sarah Williams,Uruguaya,1992-11-06
4902,COG4299-4902,4198,129,F15206543,Kristen Harris,Chilena,1972-11-25,28,Economica,FALSO,O41678476,Andrew Malone,Argentina,1996-06-24
3712,IBE2338-3712,9995,104,U37349664,Diane Ritter,Venezolana,1996-05-05,27,Primera clase,VERDADERO,D99418548,Alexis Smith,Argentina,1997-03-21
219,LAW6351-0219,246,105,L56496275,Cheryl Bolton,Uruguaya,1972-12-16,7,Economica,FALSO,L56496275,Cheryl Bolton,Uruguaya,1972-12-16
3668,LUD5927-3668,3235,102,I19062847,Christopher Garcia,Chilena,1986-12-06,29,Primera clase,VERDADERO,I19062847,Christopher Garcia,Chilena,1986-12-06
2578,LAT2175-2578,670,132,Y88079794,Gregory Bradley,Chilena,1986-04-18,7,Primera clase,VERDADERO,P34583903,Kelsey Huff,Estadounidense,1972-08-08
4265,AZI6476-4265,2928,101,Q62966391,Patricia Parker,Mexicana,1994-08-07,26,Economica,FALSO,Q62966391,Patricia Parker,Mexicana,1994-08-07
1082,BTA9626-1082,3083,103,V79731274,Corey Elliott,Venezolana,1979-10-04,28,Ejecutiva,FALSO,V79731274,Corey Elliott,Venezolana,1979-10-04
3832,KEA7139-3832,8398,113,J47009281,Susan Stewart MD,Estadounidense,1997-02-08,12,Primera clase,VERDADERO,U37349664,Diane Ritter,Venezolana,1996-05-05
2964,UCA4751-2964,4463,107,Y88079794,Gregory Bradley,Chilena,1986-04-18,9,Ejecutiva,VERDADERO,J39937043,Danielle Johnson,Mexicana,1981-12-18
1970,LAW1134-1970,2906,97,Z87364523,Samantha Martin,Alemana,1981-03-26,16,Primera clase,VERDADERO,X66304032,Victoria Odom,Francesa,1986-12-04
820,COG4299-0820,7155,129,J34719947,Heather Scott,Estadounidense,1973-05-02,21,Economica,FALSO,J34719947,Heather Scott,Estadounidense,1973-05-02
3421,LRC9669-3421,4274,130,B30315997,Tina Shaw,Estadounidense,1996-10-26,13,Primera clase,FALSO,D84069297,Brittany Jones,Uruguaya,1978-04-30
3294,ETA6742-3294,4478,120,N07672370,Kevin Wilson,Uruguaya,1986-09-11,2,Primera clase,FALSO,D76513142,Victoria Brennan,Uruguaya,1977-06-19
531,EAL8271-0531,5536,117,N15841852,John Mcneil,Chilena,1981-06-15,19,Ejecutiva,FALSO,T18212951,Joel Compton,Argentina,1991-03-03
2844,AZI6476-2844,9747,101,O04335063,Jonathan Sims,Estadounidense,1974-04-13,17,Ejecutiva,FALSO,N47846939,John Lee,Italiana,1996-01-25
405,XLE5111-0405,7880,112,Z87364523,Samantha Martin,Alemana,1981-03-26,14,Ejecutiva,VERDADERO,D39176940,Patrick Choi,Chilena,1985-06-26
4247,UAN2468-4247,2626,99,N49905893,Emma Scott,Chilena,1989-07-29,15,Ejecutiva,VERDADERO,H44001820,Ann Robertson,Venezolana,1998-04-27
1007,COG3144-1007,7804,98,Z09262256,Joseph Wilson,Uruguaya,1993-07-28,8,Economica,VERDADERO,L94336722,Julia Watkins,Uruguaya,1995-08-25
444,KAI3589-0444,4471,115,X66304032,Victoria Odom,Francesa,1986-12-04,25,Primera clase,FALSO,X66304032,Victoria Odom,Francesa,1986-12-04
2048,LUD5927-2048,436,102,J86333952,Leslie Howard,Venezolana,1971-09-22,2,Economica,VERDADERO,E44895667,Angela Reynolds,Estadounidense,1982-08-09
159,AZI6476-0159,4327,101,C59429415,Brian Garcia,Chilena,1992-04-20,25,Economica,VERDADERO,N55362278,Laura Marshall,Chilena,1991-05-19
905,LAW6318-0905,5864,96,F89276118,Todd Wilkins,Italiana,1991-01-30,26,Ejecutiva,VERDADERO,L94336722,Julia Watkins,Uruguaya,1995-08-25
834,LRC9669-0834,8172,130,J46610530,Andrew Torres,Alemana,1981-12-01,9,Economica,FALSO,J46610530,Andrew Torres,Alemana,1981-12-01
736,XLE3285-0736,8314,125,D64763364,James Johnson,Chilena,1994-06-09,26,Ejecutiva,VERDADERO,C87025090,Diana Frank,Alemana,1979-12-07
2988,UAN2881-2988,9508,108,N07672370,Kevin Wilson,Uruguaya,1986-09-11,17,Ejecutiva,FALSO,N07672370,Kevin Wilson,Uruguaya,1986-09-11
3772,UAN2881-3772,2220,108,X84322989,Mr. Russell Abbott,Chilena,1984-11-16,19,Economica,VERDADERO,X84322989,Mr. Russell Abbott,Chilena,1984-11-16
1037,LAT5532-1037,384,100,X66304032,Victoria Odom,Francesa,1986-12-04,18,Primera clase,VERDADERO,X66304032,Victoria Odom,Francesa,1986-12-04
842,LAM9574-0842,7042,131,K07643594,Suzanne Goodman,Chilena,1987-11-16,8,Ejecutiva,VERDADERO,D76513142,Victoria Brennan,Uruguaya,1977-06-19
1515,NCY1133-1515,5471,122,C63211080,Brian Mitchell,Chilena,1983-05-04,8,Ejecutiva,FALSO,C59429415,Brian Garcia,Chilena,1992-04-20
2577,LAM9574-2577,5029,131,P84627985,Meghan Davis,Chilena,1970-11-15,5,Economica,FALSO,N24258653,Kayla Douglas,Uruguaya,1970-04-28
4064,XLE3285-4064,5275,125,X66304032,Victoria Odom,Francesa,1986-12-04,14,Economica,FALSO,S05106445,Gregory Andrade,Mexicana,1984-12-20
3394,QAF4466-3394,8630,126,J46610530,Andrew Torres,Alemana,1981-12-01,13,Ejecutiva,FALSO,N24258653,Kayla Douglas,Uruguaya,1970-04-28
3376,XLE3285-3376,9855,125,T72132858,Kathy Luna,Chilena,1990-07-13,19,Primera clase,FALSO,T33834498,Alejandro Allen,Chilena,1992-05-20
538,MPH1782-0538,46,118,F15206543,Kristen Harris,Chilena,1972-11-25,21,Economica,VERDADERO,I71394677,Jessica Macias,Chilena,1986-04-12
4604,ETA7128-4604,8056,114,C87025090,Diana Frank,Alemana,1979-12-07,24,Economica,FALSO,Z09262256,Joseph Wilson,Uruguaya,1993-07-28
4396,LAW6351-4396,224,105,O01507856,James Hunter,Chilena,1995-05-14,32,Ejecutiva,VERDADERO,R10584802,John Luna,Chilena,1983-11-04
2621,LAW6318-2621,2153,96,I19062847,Christopher Garcia,Chilena,1986-12-06,17,Ejecutiva,VERDADERO,T18212951,Joel Compton,Argentina,1991-03-03
2543,COG4299-2543,3002,129,N49905893,Emma Scott,Chilena,1989-07-29,22,Economica,VERDADERO,N49905893,Emma Scott,Chilena,1989-07-29
736,XLE3285-0736,840,125,D64763364,James Johnson,Chilena,1994-06-09,28,Economica,FALSO,Y23187711,Vicki Ward,Argentina,1981-08-31
3339,EAL7933-3339,1959,123,N47846939,John Lee,Italiana,1996-01-25,26,Economica,FALSO,N47846939,John Lee,Italiana,1996-01-25
159,AZI6476-0159,265,101,C59429415,Brian Garcia,Chilena,1992-04-20,19,Ejecutiva,FALSO,C59429415,Brian Garcia,Chilena,1992-04-20
3845,KAI3589-3845,4062,115,G15489494,Anthony Francis,Argentina,1988-02-13,22,Economica,VERDADERO,I71394677,Jessica Macias,Chilena,1986-04-12
3972,ADC8249-3972,4381,119,U68917595,Paul Brown,Francesa,1987-08-24,23,Economica,VERDADERO,X66304032,Victoria Odom,Francesa,1986-12-04
435,ETA7128-0435,65,114,O04335063,Jonathan Sims,Estadounidense,1974-04-13,25,Economica,FALSO,O85238546,Sheri Mcdonald,Argentina,1984-03-14
4697,ADC8249-4697,4213,119,D64763364,James Johnson,Chilena,1994-06-09,8,Economica,VERDADERO,I63697476,Emily Sullivan,Venezolana,1991-07-25
4158,COG4299-4158,5661,129,P11550487,Maria Perez,Francesa,1996-08-11,16,Economica,FALSO,P11550487,Maria Perez,Francesa,1996-08-11
4772,XLE3285-4772,8076,125,V03976673,Mark Greene,Chilena,1998-12-09,18,Economica,FALSO,V03976673,Mark Greene,Chilena,1998-12-09
4831,BTA8394-4831,8783,128,F23633774,Amanda Ruiz,Francesa,1977-07-09,4,Economica,VERDADERO,F23633774,Amanda Ruiz,Francesa,1977-07-09
2556,LRC9669-2556,8835,130,Z87364523,Samantha Martin,Alemana,1981-03-26,11,Economica,VERDADERO,T59160871,Lucas Jones,Uruguaya,1992-03-02
4979,LAT2175-4979,8180,132,X66304032,Victoria Odom,Francesa,1986-12-04,25,Ejecutiva,FALSO,X66304032,Victoria Odom,Francesa,1986-12-04
1687,BTA8394-1687,9189,128,N47846939,John Lee,Italiana,1996-01-25,26,Primera clase,FALSO,N47846939,John Lee,Italiana,1996-01-25
2542,BTA8394-2542,1146,128,I19062847,Christopher Garcia,Chilena,1986-12-06,20,Economica,FALSO,Q76465555,Isaiah Wood,Francesa,1980-11-05
2515,QAF4466-2515,6214,126,T18212951,Joel Compton,Argentina,1991-03-03,1,Primera clase,VERDADERO,P84627985,Meghan Davis,Chilena,1970-11-15
3463,LAT2175-3463,2142,132,V79731274,Corey Elliott,Venezolana,1979-10-04,21,Primera clase,FALSO,V79731274,Corey Elliott,Venezolana,1979-10-04
1196,LAM9554-1196,7102,109,X49704522,James Rojas,Chilena,1986-05-29,10,Primera clase,VERDADERO,X49704522,James Rojas,Chilena,1986-05-29
2577,LAM9574-2577,4105,131,P84627985,Meghan Davis,Chilena,1970-11-15,7,Economica,FALSO,P84627985,Meghan Davis,Chilena,1970-11-15
3405,BTA8394-3405,8459,128,G69357980,Jerry Park,Argentina,1980-06-28,5,Primera clase,FALSO,G69357980,Jerry Park,Argentina,1980-06-28
2504,XLE3285-2504,4856,125,L87663260,Heather Bolton,Estadounidense,1982-09-17,7,Economica,FALSO,Y13424296,Katherine Perez,Mexicana,1978-07-29
2465,NCY1133-2465,4966,122,G69357980,Jerry Park,Argentina,1980-06-28,2,Economica,VERDADERO,M25657749,Casey Bennett,Estadounidense,1984-03-12
2578,LAT2175-2578,2097,132,Y88079794,Gregory Bradley,Chilena,1986-04-18,8,Economica,VERDADERO,Y88079794,Gregory Bradley,Chilena,1986-04-18
3394,QAF4466-3394,181,126,J46610530,Andrew Torres,Alemana,1981-12-01,25,Ejecutiva,FALSO,Z87364523,Samantha Martin,Alemana,1981-03-26
4160,LRC9669-4160,2636,130,W06120402,Adam Clark,Estadounidense,1993-06-10,7,Ejecutiva,VERDADERO,W06120402,Adam Clark,Estadounidense,1993-06-10
2515,QAF4466-2515,8266,126,T18212951,Joel Compton,Argentina,1991-03-03,12,Ejecutiva,FALSO,Z09262256,Joseph Wilson,Uruguaya,1993-07-28
1051,AZI6476-1051,4275,101,Z87364523,Samantha Martin,Alemana,1981-03-26,24,Ejecutiva,VERDADERO,Z87364523,Samantha Martin,Alemana,1981-03-26
4241,COG3144-4241,6330,98,X66304032,Victoria Odom,Francesa,1986-12-04,23,Ejecutiva,FALSO,V79731274,Corey Elliott,Venezolana,1979-10-04
